ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
7418;165409;-69,07214;-32,20593;137,7767;6,4;-90;38,99924;20,85147;11,66940936;18,46836141;-69,09243894;-32,18266481;135,4710752;WellsCoppersmith;0,775178119;0,00922004;1139108465;;;
7419;165423;-73,9584;-36,31911;16,43337;6,65;90;36,69827;20,23311;9,14076207;14,71187863;-74,00791681;-36,28238602;12,10018462;WellsCoppersmith;2,945969235;0,053389563;2376577301;;;
7420;165530;-70,87231;-34,2115;99,13373;6,6;-90;57,15216;30,74528;12,81458662;21,85529086;-70,92913934;-34,21935285;92,14386789;Stafford;1,190193443;0,017873828;3010126348;;;
7421;165539;-70,48632;-31,03819;5,28446;6,15;-90;60,00091;0,01834201;9,323934613;14,67091318;-70,48720853;-31,02911232;4,990206803;Stafford;0,515017966;0,035282744;2443984592;;;
7422;165542;-71,41036;-30,20592;8;6,45;-90;44,99947;304,9813;16,22453159;10,24682686;-71,46843333;-30,16506035;5,026021043;WellsCoppersmith;1,194310306;0,0206323;1559525360;;;
7423;165550;-70,76492;-35,44487;5;6,05;-90;59,99782;0,01916615;6,654364192;15,89913453;-70,77073574;-35,3907865;3,168142797;WellsCoppersmith;0,471409896;0,035922427;2805908668;;;
7424;165630;-70,63742;-33,47606;105,8518;6,2;-90;54,48857;18,7729;6,778339639;15,32662164;-70,64343103;-33,45641538;103,7274383;WellsCoppersmith;0,805951639;0,063375166;979225259;;;
7425;165641;-71,6302;-32,18443;8;6,25;-90;44,99802;304,9872;7,306921693;19,87504643;-71,65672818;-32,16397501;5,544065846;WellsCoppersmith;0,68522964;0,015721114;1519638271;;;
7426;165748;-71,41304;-32,27436;8;6,45;-90;45,0009;120,0218;8,267192822;18,29842944;-71,51592064;-32,217748;5,624830816;Stafford;1,312522819;0,029476272;2999675839;;;
7427;165754;-72,13778;-35,06226;8;6,75;-90;44,99953;120,0353;10,60081343;25,57529113;-72,05607526;-35,09405733;5,430876024;Stafford;2,06404408;0,03860867;1443204695;;;
