,ssh_time_interval,boundingbox_upperright_lon,boundingbox_upperright_lat,boundingbox_lowerleft_lon,boundingbox_lowerleft_lat,certificate,dip,fault_depth,id_long,magnitude,model,model_version,path,provider,rake,scope,simulation_time,slip,strike,x,y,scenario_id
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.50000,40121.60,RG_C00007476_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00007476_mw8.05_04h,AWI,90.0000,REGIONAL,240,3.3900,7.5000,-71.35000,-31.21490,C00007476
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.60000,43222.50,RG_C00012689_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00012689_mw8.15_04h,AWI,90.0000,REGIONAL,240,6.9200,8.5000,-71.01140,-28.54170,C00012689
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.60000,42423.90,RG_C00006832_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00006832_mw8.55_04h,AWI,90.0000,REGIONAL,240,10.6700,7.2000,-71.07820,-29.97340,C00006832
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.30000,35734.20,RG_C00014495_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00014495_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.6100,8.1000,-72.06690,-33.44730,C00014495
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.10000,30809.20,RG_C00008501_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00008501_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.9100,7.4000,-71.70980,-31.17930,C00008501
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.10000,22734.00,RG_C00004550_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00004550_mw8.05_04h,AWI,90.0000,REGIONAL,240,6.2200,8.8000,-71.61180,-28.45370,C00004550
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.90000,39269.90,RG_C00014395_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00014395_mw8.05_04h,AWI,90.0000,REGIONAL,240,3.9000,7.2000,-71.14480,-30.06950,C00014395
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.20000,27359.50,RG_C00006793_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00006793_mw8.35_04h,AWI,90.0000,REGIONAL,240,7.1300,7.0000,-71.48040,-29.25430,C00006793
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.20000,32758.10,RG_C00006856_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00006856_mw8.05_04h,AWI,90.0000,REGIONAL,240,6.2100,7.2000,-71.45560,-30.55180,C00006856
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,36245.70,RG_C00009403_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00009403_mw8.25_04h,AWI,90.0000,REGIONAL,240,4.9400,6.8000,-71.25240,-29.40800,C00009403
